latitude,longitude,NO2_molec_cm2,datetime
49.25,-122.95,1.979576854488938e+16,2025-07-11 00:00:00
49.25,-122.93,1.4482431463192682e+16,2025-07-11 00:00:00
49.25,-122.91,1.413128507184615e+16,2025-07-11 00:00:00
49.27,-123.29,4675918306794828.0,2025-07-11 00:00:00
49.27,-123.27,4651387543230731.0,2025-07-11 00:00:00
49.27,-123.25,4533605152943467.0,2025-07-11 00:00:00
49.27,-123.23,4622494986470366.0,2025-07-11 00:00:00
49.27,-123.21,6450122055090607.0,2025-07-11 00:00:00
49.27,-123.19,6701687799156952.0,2025-07-11 00:00:00
49.27,-123.17,6946051816158664.0,2025-07-11 00:00:00
49.27,-123.15,7190601998645619.0,2025-07-11 00:00:00
49.27,-123.13,9292926937184628.0,2025-07-11 00:00:00
49.27,-123.11,1.0914928490150392e+16,2025-07-11 00:00:00
49.27,-123.09,1.1127405607853528e+16,2025-07-11 00:00:00
49.27,-123.07,1.1306064241846762e+16,2025-07-11 00:00:00
49.27,-123.05,1.333989838369156e+16,2025-07-11 00:00:00
49.27,-123.03,1.8197608485231596e+16,2025-07-11 00:00:00
49.27,-123.01,1.824257871669095e+16,2025-07-11 00:00:00
49.27,-122.99,1.830788492470653e+16,2025-07-11 00:00:00
49.27,-122.97,1.8012206288381778e+16,2025-07-11 00:00:00
49.27,-122.95,1.4045469305385142e+16,2025-07-11 00:00:00
49.27,-122.93,1.363816915995145e+16,2025-07-11 00:00:00
49.27,-122.91,1.3703066535369436e+16,2025-07-11 00:00:00
49.29,-123.29,3510743665191077.5,2025-07-11 00:00:00
49.29,-123.27,3510743665191077.5,2025-07-11 00:00:00
49.29,-123.25,3541639449503180.5,2025-07-11 00:00:00
49.29,-123.23,6538891597937324.0,2025-07-11 00:00:00
49.29,-123.21,7740755237798747.0,2025-07-11 00:00:00
49.29,-123.19,7487826528616808.0,2025-07-11 00:00:00
49.29,-123.17,7234422147196947.0,2025-07-11 00:00:00
49.29,-123.15,8856967348101793.0,2025-07-11 00:00:00
49.29,-123.13,1.0815724132930116e+16,2025-07-11 00:00:00
49.29,-123.11,1.072937450970068e+16,2025-07-11 00:00:00
49.29,-123.09,1.0642760338710444e+16,2025-07-11 00:00:00
49.29,-123.07,1.2171563091890526e+16,2025-07-11 00:00:00
49.29,-123.05,1.9310353025547612e+16,2025-07-11 00:00:00
49.29,-123.03,1.9751254269252084e+16,2025-07-11 00:00:00
